      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
  5.8000E-01  2.2862E-02  1.0669E+00  1.6749E-01  8.9477E+00  9.6763E-01 -3.3380E-17 -1.6031E-14  0.0000E+00  0.0000E+00
  5.8500E-01  2.3060E-02  1.0672E+00  1.6867E-01  8.9475E+00  9.5266E-01 -7.5275E-17 -3.1483E-14  0.0000E+00  0.0000E+00
  5.9000E-01  2.3257E-02  1.0675E+00  1.6985E-01  8.9473E+00  9.3769E-01 -4.2066E-17  6.9149E-14  0.0000E+00  0.0000E+00
  5.9500E-01  2.3454E-02  1.0678E+00  1.7101E-01  8.9471E+00  9.2254E-01  1.9245E-17  3.8631E-16  0.0000E+00  0.0000E+00
  6.0000E-01  2.3651E-02  1.0681E+00  1.7220E-01  8.9470E+00  9.0736E-01 -5.7904E-18 -2.8781E-14  0.0000E+00  0.0000E+00
  6.0500E-01  2.3848E-02  1.0684E+00  1.7333E-01  8.9468E+00  8.9242E-01 -5.1092E-19  3.4770E-14  0.0000E+00  0.0000E+00
  6.1000E-01  2.4045E-02  1.0687E+00  1.7446E-01  8.9466E+00  8.7742E-01  3.9766E-17  1.0914E-14  0.0000E+00  0.0000E+00
  6.1500E-01  2.4242E-02  1.0690E+00  1.7559E-01  8.9464E+00  8.6228E-01  2.8015E-17 -2.4243E-14  0.0000E+00  0.0000E+00
  6.2000E-01  2.4439E-02  1.0693E+00  1.7675E-01  8.9463E+00  8.4708E-01 -4.0788E-17 -5.3800E-14  0.0000E+00  0.0000E+00
  6.2500E-01  2.4636E-02  1.0696E+00  1.7784E-01  8.9461E+00  8.3214E-01 -7.6978E-17  1.2750E-14  0.0000E+00  0.0000E+00
  6.3000E-01  2.4833E-02  1.0699E+00  1.7894E-01  8.9459E+00  8.1716E-01  3.8319E-18  7.8915E-14  0.0000E+00  0.0000E+00
  6.3500E-01  2.5030E-02  1.0702E+00  1.8003E-01  8.9458E+00  8.0200E-01  4.5131E-18 -7.8144E-14  0.0000E+00  0.0000E+00
  6.4000E-01  2.5228E-02  1.0706E+00  1.8114E-01  8.9456E+00  7.8684E-01  2.9804E-17  1.0683E-13  0.0000E+00  0.0000E+00
  6.4500E-01  2.5425E-02  1.0709E+00  1.8220E-01  8.9455E+00  7.7191E-01  8.3195E-17 -4.6270E-14  0.0000E+00  0.0000E+00
